tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.01,0,-0.02252857020983068,0.005061621065341735,8.575435994239772e-06,-0.002899106782362715,0.009133416500936633,0.7509284178120319,40582
0.01,1,-0.05160960884442467,0.010711782522817707,1.4551101450743048e-06,-0.018218781610295665,0.019278674384712705,0.34465300230354623,40581
0.01,2,-0.06555060354939579,0.013717946420900514,1.772636553733502e-06,-0.025207928945098157,0.023366996745260236,0.28069069570400607,40580
0.01,3,-0.05838548339190197,0.018625601277828512,0.001721585422925321,-0.03125711708923973,0.03335062636518103,0.3486472351021054,40579
0.01,4,-0.07445977708927387,0.02103420210018771,0.0004006683958860905,-0.011061958281189277,0.03700359280501196,0.7649852078004087,40578
0.01,5,-0.09071527208036906,0.02572993173137937,0.0004228770346457298,-0.012847391895679294,0.04291009459447692,0.7646344477747105,40577
0.01,6,-0.10676821600637965,0.024707568354881495,1.554983748255004e-05,-0.007371511749589388,0.04198753231359634,0.860637126795196,40576
0.01,7,-0.11827038790392663,0.02645053458565321,7.792698575094966e-06,0.018113702487283945,0.04327734562061018,0.6755477689500542,40575
0.01,8,-0.08349180893379682,0.029060803614485774,0.004067996973024365,-0.022734738295776324,0.04864127341406932,0.6402190699554717,40574
0.01,9,-0.1178395225469937,0.028138568804403075,2.822292506849066e-05,0.03562388032802799,0.047273931541182354,0.4511161101625095,40573
0.01,10,-0.1471962350856657,0.02946115363580082,5.868871900309186e-07,0.09555968623831745,0.0490185515376097,0.05124744365745624,40572
0.01,11,-0.1274244655899226,0.03400768067568374,0.00017925848649851268,0.07247372129979723,0.05840348877275608,0.21464460570131616,40571
0.01,12,-0.14490472192349202,0.03390260398211813,1.9230762277350173e-05,0.08488275162095249,0.05713220514629279,0.1373596185537375,40570
0.01,13,-0.16162147799491022,0.030984342163058738,1.8349608890435976e-07,0.1301618010577572,0.05150409558722614,0.011500954239493332,40569
0.01,14,-0.11492658773781095,0.03586629968094631,0.0013549333014661919,0.08807681791913069,0.061770411310618986,0.1539124374946861,40568
0.01,15,-0.1431167338633852,0.029976881189696963,1.8101829461579871e-06,0.05219216120030978,0.05143190236817015,0.3102158792250834,40567
0.01,16,-0.13786912052044364,0.030006063705940385,4.3465721526167296e-06,0.09925576994063157,0.052897308759018685,0.06060946945444665,40566
0.01,17,-0.09437136001641377,0.03810372783073054,0.013264516265764987,0.03680202684917688,0.06700482202397161,0.5828407252613961,40565
