alpha,h,delta,ci_lo,ci_hi,pval
0.01,0,0.0005288825864826902,-6.355976404845918e-05,0.0012548277617314423,0.11
0.01,1,0.00028946569612649025,-0.00045319997230786985,0.0009670911964293088,0.428
0.01,2,-0.0005324642247001061,-0.0012830663601107039,0.00016779390518093006,0.151
0.01,3,-0.00023442885856123563,-0.000880967984967529,0.00033396785161568884,0.466
0.01,4,-0.00041191994303898497,-0.001114386995250142,0.00021707162497047278,0.228
0.01,5,0.00016953979481368927,-0.0005127975215837019,0.0008624781870384925,0.65
0.01,6,0.00014983765968686709,-0.0006194948791747192,0.0009029523523520297,0.694
0.01,7,-0.0002256129861594857,-0.0008931744552240613,0.0005010551272692522,0.548
0.01,8,-0.0007109795131532161,-0.0014525629950942072,3.1532150738379565e-05,0.064
0.01,9,0.00028979436624511053,-0.0003527804903773715,0.0009823555412940374,0.425
0.01,10,-0.00027862924697397563,-0.001000007290001478,0.00044472981357373593,0.461
0.01,11,-0.00043532960850831636,-0.0012292436391487668,0.0003575990167589607,0.293
0.01,12,-7.154820074985863e-05,-0.0008749231297520261,0.0007229970759634178,0.844
0.01,13,-0.0002966707592667636,-0.001058947448272873,0.00046680980428774984,0.469
0.01,14,2.5041647289875298e-05,-0.0006674773528585092,0.0007236481863907942,0.94
0.01,15,-0.00014472908046026499,-0.0007912699261966312,0.0005186844308862096,0.679
0.01,16,0.00012902068760247234,-0.0005160818501806396,0.0008119015761471286,0.673
0.01,17,-0.0009631975604181829,-0.0017194006830036192,-0.00024380509176921952,0.007
0.01,18,-0.0006027651483185394,-0.0012363418846352856,3.106102619399343e-05,0.065
0.01,19,-3.6763127978464184e-06,-0.0006955137079979824,0.0007197635578656056,0.987
0.01,20,-0.00016314340495886736,-0.0009078903264319341,0.0005786062829410459,0.643
0.01,21,3.44138733179393e-05,-0.0007013037176779608,0.0007130476652562488,0.925
0.01,22,-0.00013650664247438923,-0.0008534301811913626,0.0005868094853361135,0.73
0.01,23,-8.147771889161414e-05,-0.0008187330776384214,0.0006350447811019878,0.825
0.01,24,-0.0004415431964155561,-0.001124048580628647,0.00023259720868286138,0.234
0.05,0,0.0003401960434291991,-0.0008018284968713727,0.0015861314853172436,0.561
0.05,1,-0.00020847788701172003,-0.00169126099824205,0.0011289839679916303,0.769
0.05,2,-0.0010668836354803396,-0.002496548809544092,0.00023430644531507915,0.131
0.05,3,-6.68120321378916e-05,-0.0014343770094058421,0.001397968371332129,0.922
0.05,4,0.0005665301147016067,-0.000929462504533909,0.001849755939171757,0.424
0.05,5,0.0002965219415296213,-0.0010791785749848307,0.0016921563213897072,0.67
0.05,6,-0.0004274834835655858,-0.0017642863928470482,0.0009581349251342407,0.546
0.05,7,-0.0014711251116789068,-0.002822841150699781,-7.805968378998373e-05,0.033
0.05,8,-0.0015145279096983452,-0.002796982459783858,-0.0001865097244585812,0.022
0.05,9,-4.783726170769394e-05,-0.0013091170787932335,0.0013547755468342542,0.945
0.05,10,-0.0011940609486176725,-0.0026515264227814236,0.0002770685454349245,0.109
0.05,11,-0.000581985394486209,-0.0021335823724340764,0.0008390270599370424,0.463
0.05,12,-0.0003902686153378545,-0.0019211639547585492,0.0010528660314366972,0.613
0.05,13,0.0001912251068642845,-0.0011786947088262094,0.001680594604021911,0.798
0.05,14,-0.00044856969531511517,-0.0018626914050355753,0.0008443103207988364,0.531
0.05,15,-0.00034482430213234484,-0.001688876961547054,0.000955480412938652,0.627
0.05,16,-0.0008395934867673456,-0.0023056632023725054,0.0005840804885921256,0.25
0.05,17,-0.0017509132103213226,-0.0032868507228608606,-0.00026653153159297095,0.025
0.05,18,-0.0008952717598951583,-0.0022938742803266937,0.0005368219318726193,0.23
0.05,19,-0.0012119267165288993,-0.0025829842420188403,0.0002168260930644428,0.09
0.05,20,-0.0009544174573999299,-0.0024033543630207683,0.0005566978462327429,0.214
0.05,21,-0.0011730024389392064,-0.002553179905636228,0.0001831998266352359,0.113
0.05,22,-0.0010582978596384803,-0.002474183372368237,0.0003666691083867535,0.121
0.05,23,-0.0008220881230124267,-0.002221807598870095,0.0006877852023518309,0.252
0.05,24,-0.0011456021580126094,-0.0025964955876211088,0.00029715232210071027,0.119
0.1,0,-0.0012020461753047612,-0.0028321109274806917,0.0003955016247432758,0.129
0.1,1,-0.0010558315653469413,-0.002934828369580186,0.0008840856141875447,0.281
0.1,2,-0.002534854054116887,-0.004461511202166479,-0.00037270433651017716,0.02
0.1,3,0.00019660633848233092,-0.0015903784528749757,0.001945150541814117,0.844
0.1,4,-0.0002787940026447878,-0.0021351235602941813,0.0016764130904921618,0.762
0.1,5,-0.00011660309600300574,-0.002019861865243067,0.0017010973859913107,0.882
0.1,6,-0.001092649767899869,-0.0029406457668406283,0.0007682380782405012,0.237
0.1,7,-0.0012441651484027525,-0.0030334025742693163,0.0007460284421964098,0.197
0.1,8,-0.0026676219130785128,-0.004397601896080729,-0.0008877129833258337,0.004
0.1,9,2.0950556066664117e-05,-0.0017696825644817182,0.0017022426543665263,0.985
0.1,10,-0.0014649878481045493,-0.0032419210128175756,0.00036631886282964657,0.122
0.1,11,-0.0008960738007416738,-0.0029528302023331394,0.0008477583349980357,0.359
0.1,12,-0.0004132022700365674,-0.0022551414923100755,0.0014442637217583984,0.659
0.1,13,0.0006465936818049849,-0.001265296164312844,0.0026250414746281027,0.548
0.1,14,-0.0004384472857326695,-0.0023958283873211483,0.001348745879069566,0.66
0.1,15,0.00019353841405604384,-0.0016039623424070769,0.002158962985745258,0.839
0.1,16,-0.0008662464723774134,-0.002754876567703555,0.0008118723418870788,0.367
0.1,17,-0.0013791316558981683,-0.0033170897572994762,0.0005154054130348247,0.158
0.1,18,-0.0016228008255651958,-0.003549272361089692,0.0001721694213524365,0.089
0.1,19,-0.0012781062979394615,-0.0030981244597526694,0.0005500563034499962,0.169
0.1,20,-0.0010359936240365588,-0.003006256506583485,0.0009835120779060262,0.286
0.1,21,-0.000940185133322482,-0.002849818312340668,0.0011267539049256126,0.366
0.1,22,-0.0018110941279387816,-0.00355134730204553,9.707163646294224e-05,0.052
0.1,23,-0.0015618358889652193,-0.003532555930142926,0.00029312722773257934,0.114
