alpha,h,delta,ci_lo,ci_hi,pval
0.01,0,0.0005288825864826902,-6.355976404845918e-05,0.0012548277617314423,0.11
0.01,1,0.0008753181111901636,-0.00018589368370300598,0.0019499484639209595,0.125
0.01,3,-0.00042928923760873674,-0.002185647370898414,0.0013195513230657757,0.625
0.01,6,-0.0012237253886997193,-0.003781263046962512,0.001420962620059272,0.351
0.01,12,-0.004403554566374618,-0.00796081648604635,-0.0009717004257410202,0.023
0.01,24,-0.00437676576544429,-0.009360426806588358,0.0002171221146998652,0.076
0.05,0,0.0003401960434291991,-0.0008018284968713727,0.0015861314853172436,0.561
0.05,1,-0.00026090762265218014,-0.0019399502492779984,0.0013934365104122798,0.753
0.05,3,-0.003027549976275478,-0.005709587385255415,-0.00043474946166502837,0.027
0.05,6,-0.0034751978762353223,-0.007147428416035819,6.1022898907050804e-05,0.058
0.05,12,-0.006651710957747333,-0.011664108888667299,-0.0019175750582931812,0.007
0.05,24,-0.007667745598789975,-0.01323267141099564,-0.0016665506109452028,0.011
0.1,0,-0.0012020461753047612,-0.0028321109274806917,0.0003955016247432758,0.129
0.1,1,-0.0029796775318973326,-0.005156254711998788,-0.0008367063826568229,0.009
0.1,3,-0.004337981539310697,-0.007214547331437491,-0.0016737440459140469,0.0
0.1,6,-0.005178417698083555,-0.008847954129646637,-0.0011386968745622534,0.01
0.1,12,-0.008890480216974224,-0.014088762920478547,-0.0034437179136411105,0.001
0.1,24,-0.008609698630715106,-0.014584994645590887,-0.0024561674084118065,0.003
