alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.01,0,down,logit,0.084305996743555,0.0199083691564704,0.04528559319687302,0.12332640029023699,2.288557003489573e-05,40582
0.01,0,down,lpm,0.0017831997716840897,0.00026961770193395133,0.001123345126608788,0.002427119814482831,3.745569458505844e-11,40582
0.01,0,up,logit,0.0589845801224518,0.01734348948599336,0.024991340729904818,0.09297781951499878,0.0006714871630786369,40582
0.01,0,up,lpm,0.0012543171852013996,0.00026496352776294197,0.0006851208583328444,0.001819056275923358,2.202202884851925e-06,40582
0.01,1,down,logit,0.08889893367622222,0.014113587586267412,0.06123630200713809,0.11656156534530634,2.9992195605346844e-10,40581
0.01,1,down,lpm,0.0014234418742115258,0.0002790841763413231,0.0008198003934398561,0.0020795591802808483,3.3893037883845883e-07,40581
0.01,1,up,logit,0.07024636277411109,0.014282435750441578,0.04225278870324559,0.09823993684497659,8.726599413339564e-07,40581
0.01,1,up,lpm,0.0011339761780850355,0.0002761537561282486,0.0006121963710534352,0.001703542165504449,4.020093995474366e-05,40581
0.01,2,down,logit,0.05057584859253234,0.014973163671230093,0.02122844779692136,0.07992324938814332,0.000730771406344751,40580
0.01,2,down,lpm,0.0007861501662612234,0.0002641062403878555,0.00013340163054494517,0.0015092194230573591,0.0029142251126053386,40580
0.01,2,up,logit,0.08014943843407754,0.014025953249696292,0.05265857006467281,0.10764030680348227,1.1011340420804886e-08,40580
0.01,2,up,lpm,0.0013186143909613296,0.0002775089979423853,0.0007227589816496791,0.0019023960055604902,2.0180382378390214e-06,40580
0.01,3,down,logit,0.0648697487127409,0.014855935706909332,0.03575211472719861,0.09398738269828319,1.2620252843249895e-05,40579
0.01,3,down,lpm,0.0009680556907817677,0.0002506901682059065,0.00037854030761226093,0.0014927748849057497,0.00011266429610301631,40579
0.01,3,up,logit,0.07258988664401363,0.014305374934186436,0.044551351773008216,0.10062842151501904,3.8890752053360176e-07,40579
0.01,3,up,lpm,0.0012024845493430034,0.00026888727016932153,0.0005897758219183162,0.001796363817861203,7.74635595457134e-06,40579
0.01,4,down,logit,0.06371206886520994,0.01474136892703099,0.0348189857682292,0.09260515196219068,1.5462725836351752e-05,40578
0.01,4,down,lpm,0.0009731948366933022,0.0002674820223049586,0.0004207687732827425,0.0015585721939766798,0.00027438391083794896,40578
0.01,4,up,logit,0.08473425693974973,0.014020435322093577,0.05725420370844632,0.11221431017105314,1.5068929297828562e-09,40578
0.01,4,up,lpm,0.0013851147797322872,0.000280651236023903,0.0007984905407467822,0.001984418088293108,8.000320442522707e-07,40578
0.01,5,down,logit,0.08014869396502727,0.014395315892902858,0.05193387481493767,0.10836351311511688,2.5813466858193666e-08,40577
0.01,5,down,lpm,0.0012209004552745195,0.0002699341020348952,0.0006008048927412861,0.0018631398625950657,6.09815055759435e-06,40577
