alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.01,0,down,logit,0.084305996743555,0.0199083691564704,0.04528559319687302,0.12332640029023699,2.288557003489573e-05,40582
0.01,0,down,lpm,0.0017831997716840897,0.00026961770193395133,0.001123345126608788,0.002427119814482831,3.745569458505844e-11,40582
0.01,0,up,logit,0.0589845801224518,0.01734348948599336,0.024991340729904818,0.09297781951499878,0.0006714871630786369,40582
0.01,0,up,lpm,0.0012543171852013996,0.00026496352776294197,0.0006851208583328444,0.001819056275923358,2.202202884851925e-06,40582
0.01,1,down,logit,0.05656574379218003,0.011183600963471076,0.03464588590377672,0.07848560168058334,4.2385718393528625e-07,40581
0.01,1,down,lpm,0.002558922965005636,0.0003707767568592999,0.0017113123437287885,0.0034271251371864554,5.144925874813511e-12,40581
0.01,1,up,logit,0.03463715495663863,0.01113970257166106,0.012803337916182954,0.05647097199709431,0.0018750397719924465,40581
0.01,1,up,lpm,0.0016836048538154725,0.00035452268293862006,0.0008569068263432884,0.0024653826306743807,2.0449157011471557e-06,40581
0.01,3,down,logit,0.03178879215357002,0.007978925888057183,0.016150097412977942,0.047427486894162096,6.773800783849054e-05,40579
0.01,3,down,lpm,0.0024280777797588762,0.00047431054105967436,0.0012188015479845558,0.003659236977265999,3.068781410327819e-07,40579
0.01,3,up,logit,0.03884671138913588,0.0076415870217423805,0.023869200826520817,0.05382422195175095,3.7036287023495976e-07,40579
0.01,3,up,lpm,0.002857367017367613,0.0004914796997393437,0.0017649196124568725,0.003960937453592402,6.106863633044292e-09,40579
0.01,6,down,logit,0.02838954180313769,0.006346943709519943,0.0159495321324786,0.04082955147379678,7.714896244244302e-06,40576
0.01,6,down,lpm,0.002905094789787164,0.0005784096308907483,0.00127061673307452,0.004515784096193432,5.098831087566302e-07,40576
0.01,6,up,logit,0.04001711497969937,0.006021858681103433,0.028214271964736644,0.051819957994662096,3.0258048503015767e-11,40576
0.01,6,up,lpm,0.004128820178486883,0.0006004259819478575,0.002525478338320381,0.005748587868057506,6.134744875758419e-12,40576
0.01,12,down,logit,0.014964407145131349,0.005311329882300636,0.004554200575822101,0.025374613714440594,0.004840662919682983,40570
0.01,12,down,lpm,0.0021146235483848353,0.0006735368986244512,-1.645716012374902e-05,0.004427258672813619,0.0016918972077219646,40570
0.01,12,up,logit,0.04524196297615157,0.00487342603142877,0.035690047954551184,0.05479387799775196,1.641549642673814e-20,40570
0.01,12,up,lpm,0.006518178114759453,0.0007333878848274425,0.004361703744797747,0.008975613197067097,6.235119015527913e-19,40570
0.01,24,down,logit,0.012378377203526438,0.004600889850203439,0.0033606330971276965,0.02139612130992518,0.007135976596581275,40558
0.01,24,down,lpm,0.002109034142954452,0.0007714869191197882,-0.0008191759753846414,0.004962098609097408,0.006262205923021144,40558
0.01,24,up,logit,0.035557964491433114,0.004306347706040354,0.02711752298759402,0.04399840599527221,1.4924832308211135e-16,40558
