tau,h,benchmark,n_train_init,n_test,n_refits,loss_bench,loss_full,skill,dm_t,dm_pval
0.01,1,garch11,24348,16233,97,0.03022790923569956,0.030128070566775553,0.0033028638582154324,0.2378442499341266,0.8120018967963225
0.01,3,garch11,24347,16232,97,0.03053505313490033,0.030772203435164548,-0.007766493780656525,-0.6138364918164313,0.539323380424932
0.01,6,garch11,24345,16231,97,0.031032543176613723,0.030875619691136072,0.005056739455240988,0.3513038149572436,0.7253604331974599
0.01,12,garch11,24342,16228,97,0.03158352385390675,0.030906977528901695,0.021420862603378277,1.677875820072556,0.0933713438195265
0.01,24,garch11,24334,16224,97,0.03187456089981037,0.03136717385172823,0.01591824432270561,1.2235845016110873,0.22110900911491616
0.05,1,garch11,24348,16233,97,0.08711041321787548,0.08764023235549369,-0.006082156174521458,-0.9228815953957431,0.35606891278622665
0.05,3,garch11,24347,16232,97,0.08796234775903886,0.08849872567210176,-0.006097812606505659,-0.9308047835453077,0.35195455482205595
0.05,6,garch11,24345,16231,97,0.08854875394875,0.0886901191475637,-0.0015964673980111144,-0.24712439885428103,0.8048119516662506
0.05,12,garch11,24342,16228,97,0.08894479921198926,0.08911019743344757,-0.0018595603444344633,-0.2763952612367339,0.7822444960041024
0.05,24,garch11,24334,16224,97,0.09065974058949197,0.08975465590194762,0.009983314331800108,1.3498487507534682,0.17706450354291636
0.95,1,garch11,24348,16233,97,0.07992021314331009,0.08109110428328253,-0.014650750966752835,-1.9768097903606803,0.048063134626226356
0.95,3,garch11,24347,16232,97,0.08082441274095933,0.08168539123137329,-0.010652455875842515,-1.394124739385037,0.16327993968027177
0.95,6,garch11,24345,16231,97,0.08163606567838479,0.0821209179328359,-0.005939191831723534,-0.816396272839084,0.41427352765502645
0.95,12,garch11,24342,16228,97,0.08231318425900865,0.08272693110470884,-0.005026495444500068,-0.7399068676650863,0.4593565069816128
0.95,24,garch11,24334,16224,97,0.08437365069548151,0.0831749704028698,0.014206808437600471,2.1333816306793643,0.03289343269807321
0.99,1,garch11,24348,16233,97,0.026761090498133876,0.02687987845755003,-0.004438831049296654,-0.28600907037939893,0.774871174460237
0.99,3,garch11,24347,16232,97,0.02716456722024481,0.02705413171440267,0.004065424821487085,0.2790456011826287,0.780209829406165
0.99,6,garch11,24345,16231,97,0.027393923319870336,0.027017005682187345,0.013759169626118894,0.9921553532133445,0.32112174795444726
0.99,12,garch11,24342,16228,97,0.02781685826410193,0.027735901220295456,0.002910359000209306,0.1986872440856308,0.8425074028361919
0.99,24,garch11,24334,16224,97,0.028824542094063876,0.028101696084545425,0.02507744987447047,1.9306004369609167,0.05353248379806286
0.01,1,qr_controls,24348,16233,97,0.03055875806285002,0.030128070566775553,0.014093749987766913,1.5823307161227207,0.11357409217127823
0.01,3,qr_controls,24347,16232,97,0.031092116873875097,0.030772203435164548,0.010289213822535004,1.4425590436315812,0.14914472775979792
0.01,6,qr_controls,24345,16231,97,0.031218349016063806,0.030875619691136072,0.010978457725339008,1.4227214059838489,0.15481693270767938
0.01,12,qr_controls,24342,16228,97,0.0312754119226631,0.030906977528901695,0.011780321060917087,1.7744154519860673,0.07599445580744901
0.01,24,qr_controls,24334,16224,97,0.03162449931845173,0.03136717385172823,0.008136902473373286,1.2796514486411705,0.20066774697712475
0.05,1,qr_controls,24348,16233,97,0.08849987933758581,0.08764023235549369,0.009713538464984461,2.8934545448971516,0.0038102943758340224
0.05,3,qr_controls,24347,16232,97,0.0889078515985968,0.08849872567210176,0.004601684993381205,2.1908720857751667,0.028461050267435395
0.05,6,qr_controls,24345,16231,97,0.08901252749344381,0.0886901191475637,0.0036220558494293176,1.7266613212072086,0.0842285059901633
0.05,12,qr_controls,24342,16228,97,0.08953396048413313,0.08911019743344757,0.004732986772775005,2.559172659486195,0.01049216159329558
0.05,24,qr_controls,24334,16224,97,0.08989205057451355,0.08975465590194762,0.0015284407429558833,1.3175954643398982,0.18763910475789847
0.95,1,qr_controls,24348,16233,97,0.0817863042397598,0.08109110428328253,0.008500200161132843,3.392464047800037,0.0006926702135012786
0.95,3,qr_controls,24347,16232,97,0.08214191225434546,0.08168539123137329,0.005557711166482071,2.3095543253195117,0.020912840775652253
0.95,6,qr_controls,24345,16231,97,0.08242781951073895,0.0821209179328359,0.003723276676790843,1.8477850604546182,0.06463344296598073
0.95,12,qr_controls,24342,16228,97,0.0829464737237604,0.08272693110470884,0.0026467987027720685,0.839506765366819,0.4011849943608139
0.95,24,qr_controls,24334,16224,97,0.08367364661607182,0.0831749704028698,0.005959776266118211,2.7728645252366646,0.005556524777215799
0.99,1,qr_controls,24348,16233,97,0.02701888474695613,0.02687987845755003,0.005144782647690915,0.9691450061670472,0.3324728450590628
0.99,3,qr_controls,24347,16232,97,0.027201685438049492,0.02705413171440267,0.005424433128706996,0.8074639311008125,0.41939924693496033
0.99,6,qr_controls,24345,16231,97,0.027319077051936046,0.027017005682187345,0.011057158672470369,2.367585139264712,0.0179045999724865
0.99,12,qr_controls,24342,16228,97,0.027742903916248677,0.027735901220295456,0.0002524139496846711,0.041577836458923885,0.966835241903695
0.99,24,qr_controls,24334,16224,97,0.028110714509124696,0.028101696084545425,0.00032081804880279563,0.07188005471548582,0.9426973630156941
