dgp,vol_model,h,tau,beta_real,beta_placebo_mean,placebo_ci_lo,placebo_ci_hi,gap_real,gap_placebo
sign_flip,empirical,0,0.01,-0.03217347612399912,-0.026430863019943074,-0.036458111052070453,-0.017732347933951866,0.013539574138174526,0.00011621531860934964
sign_flip,empirical,0,0.05,-0.019448830062145817,-0.019311688246168544,-0.02281531691943308,-0.015513840151992267,0.013539574138174526,0.00011621531860934964
sign_flip,empirical,0,0.95,0.0184300595954614,0.019350502778513707,0.01530479653460108,0.022827401670684862,0.013539574138174526,0.00011621531860934964
sign_flip,empirical,0,0.99,0.018633901985824597,0.026314647701333727,0.017434682132166774,0.03724190031526162,0.013539574138174526,0.00011621531860934964
sign_flip,empirical,1,0.01,-0.08682350672926376,-0.059340359713693246,-0.08585141875657741,-0.03404970081969247,0.04443042496625438,-4.9791880339423055e-05
sign_flip,empirical,1,0.05,-0.04540645567431412,-0.03715494121081261,-0.046945319195732006,-0.029497763720294605,0.04443042496625438,-4.9791880339423055e-05
sign_flip,empirical,1,0.95,0.03066520534648909,0.030011122372264033,0.022262709408417746,0.039745952046134014,0.04443042496625438,-4.9791880339423055e-05
sign_flip,empirical,1,0.99,0.04239308176300938,0.059390151594032665,0.03169111792598511,0.08219856553165467,0.04443042496625438,-4.9791880339423055e-05
sign_flip,empirical,3,0.01,-0.10509403258804895,-0.08992510041039722,-0.14423208243708147,-0.03790168327376069,0.04471839562835811,0.04663790863004479
sign_flip,empirical,3,0.05,-0.04584596590021306,-0.04252021444797761,-0.058190504299891546,-0.028808132436465822,0.04471839562835811,0.04663790863004479
sign_flip,empirical,3,0.95,0.043926386415731655,0.038293068260375276,0.024865460506462045,0.05307982568157137,0.04471839562835811,0.04663790863004479
sign_flip,empirical,3,0.99,0.06037563695969084,0.04292778590261428,0.0005966607551085139,0.08337535929613944,0.04471839562835811,0.04663790863004479
sign_flip,empirical,6,0.01,-0.15954378718214457,-0.13268372743136947,-0.2321124767495543,-0.04747075295331965,0.0800823574793803,0.09537345037062721
sign_flip,empirical,6,0.05,-0.07923013621915942,-0.058580892717816364,-0.08531536195651476,-0.03643281393475551,0.0800823574793803,0.09537345037062721
sign_flip,empirical,6,0.95,0.0414352910896838,0.04104530303293635,0.019790859962626108,0.06498020374138384,0.0800823574793803,0.09537345037062721
sign_flip,empirical,6,0.99,0.07946142970276426,0.03414376887243663,-0.02230239736215047,0.09003551572108343,0.0800823574793803,0.09537345037062721
sign_flip,empirical,12,0.01,-0.2411159786718926,-0.21937301776236587,-0.38089900052225056,-0.0759922038628723,0.1525051096686525,0.16605413986314432
sign_flip,empirical,12,0.05,-0.10169389045756105,-0.07935027929096164,-0.12246502212987291,-0.04115803309974425,0.1525051096686525,0.16605413986314432
sign_flip,empirical,12,0.95,0.0774329048564546,0.06462459798137597,0.02788745908742181,0.1006949722760699,0.1525051096686525,0.16605413986314432
sign_flip,empirical,12,0.99,0.08861086900324011,0.0480922328073075,-0.0297610452564793,0.14144464662213685,0.1525051096686525,0.16605413986314432
sign_flip,empirical,18,0.01,-0.23191709825935192,-0.20436089339626387,-0.3898091219554608,-0.0629384071694844,0.06358294282643229,0.1326731233446073
sign_flip,empirical,18,0.05,-0.08677621073299058,-0.07332133570856579,-0.12497425718210811,-0.02382482061044548,0.06358294282643229,0.1326731233446073
sign_flip,empirical,18,0.95,0.11293117535373387,0.07515030261424822,0.029121982067362273,0.1251094332738361,0.06358294282643229,0.1326731233446073
sign_flip,empirical,18,0.99,0.16833415543291963,0.06527341013918868,-0.03929779173827512,0.20383419297749547,0.06358294282643229,0.1326731233446073
sign_flip,empirical,24,0.01,-0.21309558149341967,-0.1773277559699311,-0.38641537563453604,-0.013147490059078707,0.05753599815609789,0.0900965807239551
sign_flip,empirical,24,0.05,-0.11593610713527092,-0.0804900365955029,-0.14992315402557754,-0.017605479432903207,0.05753599815609789,0.0900965807239551
sign_flip,empirical,24,0.95,0.11594303556308105,0.08202284548634109,0.02805461631606958,0.144347848649799,0.05753599815609789,0.0900965807239551
sign_flip,empirical,24,0.99,0.15555958333732178,0.08107322619573162,-0.04683187270619466,0.25134632082151964,0.05753599815609789,0.0900965807239551
