tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.01,-2,-0.21375687456092218,0.00909454887201854,2.4181326622729625e-121,0.02404809822891174,0.01585902092779282,0.12943433373816196,40580
0.01,-1,-0.22566974102013648,0.007606116762762029,2.126142995049099e-191,-0.002166005327270959,0.013334305004336097,0.8709613150832016,40581
0.05,-2,-0.12931565771105014,0.003636612468775513,9.401684842558864e-273,0.004166699472186508,0.006359043764063852,0.512316996238912,40580
0.05,-1,-0.1592317520061024,0.003136463216755957,0.0,0.0026963253045289015,0.005434361245681371,0.6197825781661608,40581
0.1,-2,-0.09972310116850114,0.0021910129088927198,0.0,0.011867863051971739,0.0038347519081871916,0.0019706699152411376,40580
0.1,-1,-0.12222498628761147,0.0019556675554168804,0.0,0.004229221455315346,0.0034130445149731354,0.21530283355999288,40581
0.5,-2,-0.03313849075521051,0.0009852014542143617,1.1586347905021917e-244,0.007090163133758622,0.0017122030542351557,3.465551492673355e-05,40580
0.5,-1,-0.03661576181007965,0.0009945883063755398,6.957981843589065e-292,0.009065631015523878,0.0017285195388745663,1.5728868544714165e-07,40581
0.9,-2,-0.016613010839806763,0.002038522228480403,3.7568191567618857e-16,0.001152048823586993,0.0035546002877305588,0.7458633863137716,40580
0.9,-1,0.0010601566334038637,0.0022168811647708107,0.6324962946486345,0.008788499261598304,0.0038044895007747375,0.020891276986391222,40581
0.95,-2,-0.014046272737967325,0.003408675469530523,3.7840285899797215e-05,0.0050455569149265855,0.005919257292171263,0.3939988390466477,40580
0.95,-1,0.00617757334180169,0.003574612017298313,0.08396354946549081,0.01957946166102431,0.006103427110048904,0.0013379058537256114,40581
