tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.01,-2,-0.2137568745609182,0.00909454887199908,2.418132659472327e-121,0.02404809822899523,0.015859020927758805,0.12943433373600965,40580
0.01,-1,-0.22566974102013693,0.007606116762755493,2.1261429934695e-191,-0.002166005327295828,0.013334305004324634,0.870961315081623,40581
0.05,-2,-0.12931565771043196,0.003636612468769102,9.401684877374551e-273,0.0041666994714120165,0.006359043764052653,0.5123169963165717,40580
0.05,-1,-0.1592317520055424,0.0031364632167356493,0.0,0.0026963253042189272,0.005434361245646184,0.6197825782041345,40581
0.1,-2,-0.09972310116752858,0.0021910129090223574,0.0,0.011867863049952021,0.0038347519084140982,0.0019706699199558936,40580
0.1,-1,-0.12222498628714829,0.0019556675554391204,0.0,0.004229221455021137,0.0034130445150119515,0.2153028335971285,40581
0.25,-2,-0.05569984272025211,0.001218304117160604,0.0,0.009434182386542256,0.0021176214391469836,8.408410436549791e-06,40580
0.25,-1,-0.07348666781786228,0.001187236625784081,0.0,0.0056181622704931655,0.0020632610347664357,0.006472896606522085,40581
0.5,-2,-0.03313849075539957,0.0009852014542140672,1.1586347828386333e-244,0.007090163134486793,0.0017122030542346498,3.465551486231414e-05,40580
0.5,-1,-0.03661576181581523,0.0009945883063928625,6.957980572136618e-292,0.009065631019871262,0.0017285195389046722,1.5728868338094054e-07,40581
0.75,-2,-0.021504332353089517,0.0011576456752957211,1.0484749104006123e-76,0.00297291398539401,0.0020132501391582043,0.13977082627831633,40580
0.75,-1,-0.014797671272381935,0.001192556177280047,2.728529916509647e-35,0.0054724241470145985,0.0020726836291123487,0.00828740934920241,40581
0.9,-2,-0.01661299939349603,0.002038789285336065,3.79024571920466e-16,0.0012220565326754862,0.0035537161455027905,0.7309373366953948,40580
0.9,-1,0.00106015665315784,0.002216881164609755,0.6324962882824665,0.008788499252021964,0.003804489500498344,0.020891277116458766,40581
0.95,-2,-0.014046272714434593,0.003408675469992147,3.7840287124952635e-05,0.005045556891456915,0.005919257292972898,0.3939988413105803,40580
0.95,-1,0.006177563706472711,0.003574611983882381,0.08396402968501984,0.019579471296623296,0.006103427052993287,0.0013378983720648849,40581
0.99,-2,-0.008229300998284117,0.011772634494190165,0.4845438557501196,-0.007527949314170002,0.020218862028246617,0.7096542490904236,40580
0.99,-1,0.03616206355224527,0.010975766539170461,0.0009860463272991114,0.025488631190952127,0.019960887911385027,0.20163471882859718,40581
