h,true_abs_beta,artifact_beta_mean,artifact_beta_sd,ratio,n_seeds,true_beta,artifact_beta_signed_mean,artifact_beta_signed_sd,null_q025,null_q975,perm_pval_abs
0,0.03217347612399912,0.005382232783066188,0.003818810949750013,0.16728788528546423,500,-0.03217347612399912,0.0006456229149898742,0.006572072389248476,-0.012537377528755816,0.012659874704224802,0.0
1,0.08682350672926376,0.009260320965913067,0.0082215216747035,0.10665684115695695,500,-0.08682350672926376,-0.000160591347323086,0.01238922808597658,-0.026790908752288487,0.023814344691879794,0.0
2,0.12069279188513526,0.018579994580412366,0.013435521468973172,0.15394452551976065,500,-0.12069279188513526,-8.827684041844285e-05,0.022943701605522983,-0.04512626749719373,0.040857956325146806,0.0
3,0.10509403258804895,0.018622875859131586,0.014847836335881109,0.1772020294637484,500,-0.10509403258804895,0.0007868941292339479,0.02381899071961704,-0.04840873221120718,0.048331229294802124,0.002
4,0.15963525661058142,0.025450701352548125,0.01988361233380687,0.15943032819268274,500,-0.15963525661058142,0.0018332843211966523,0.03226494451545912,-0.06403643246287127,0.05985861270660225,0.0
6,0.15954378718214457,0.03540083310666439,0.024840860490503082,0.2218878825174729,500,-0.15954378718214457,0.004642121945343117,0.04302564716919369,-0.07370751420251799,0.07925908320132488,0.0
8,0.18962770196354928,0.035248098801798806,0.02892811371782985,0.18588053558005088,500,-0.18962770196354928,0.00040844102643256377,0.045624411345635135,-0.09799583229291721,0.07897074583037111,0.0
12,0.2411159786718926,0.044193566332266045,0.03457058494367901,0.18328758871847337,500,-0.2411159786718926,0.0039031034647017287,0.056007551927534684,-0.11843202391951439,0.09690579879098114,0.002
18,0.23191709825935192,0.062266202360908546,0.04727258963349993,0.2684847422990629,500,-0.23191709825935192,0.0019678415610227826,0.07820273157433613,-0.17681786039659678,0.1354597848426306,0.004
24,0.21309558149341967,0.07499250810659401,0.06578100653991699,0.3519195826634714,500,-0.21309558149341967,-0.000603203752865094,0.09980943243359981,-0.2541766965311533,0.1579283748970535,0.038
