tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.01,0,-0.03217347612399912,0.0056954062378040335,1.6244122405031527e-08,-0.0221828430203157,0.009637340693634349,0.021353764124580638,40582
0.01,1,-0.08682350672926376,0.012840853049574894,1.3841054894743988e-11,-0.0198735182707086,0.023033103173069145,0.3882392445662445,40581
0.01,2,-0.12069279188513526,0.01870112696752711,1.1032832242842203e-10,-0.04633299725751794,0.03206587389039158,0.14848479777373583,40580
0.01,3,-0.10509403258804895,0.02294897173247556,4.675482126537914e-06,-0.065342672659364,0.03987554446457675,0.10129073010839819,40579
0.01,4,-0.15963525661058142,0.028208563446649352,1.5318726985750665e-08,-0.004511497584666735,0.0489168799614563,0.9265174841989727,40578
0.01,5,-0.1454655704152632,0.02812791271830494,2.3323159195038995e-07,-0.0947253066085949,0.04963067079279295,0.056320219619865296,40577
0.01,6,-0.15954378718214457,0.03440703174501477,3.546836617266408e-06,-0.06465666323003916,0.0565803654753307,0.2531531804472254,40576
0.01,7,-0.197725659269409,0.03322329304245288,2.6800894006904934e-09,-0.004994090221160263,0.05517975515268444,0.92788569831398,40575
0.01,8,-0.18962770196354928,0.032172828520293385,3.7985519108857184e-09,-0.03153347503200443,0.04954275722462566,0.5244606159142176,40574
0.01,9,-0.2239164229299062,0.03326270803498429,1.6985529541464802e-11,0.005053387242099916,0.05087018759879779,0.9208697035901112,40573
0.01,10,-0.19793551232169193,0.035293225824903324,2.05633964921881e-08,0.0036327538145997096,0.05543208095023861,0.9477481852536154,40572
0.01,11,-0.1920011587350512,0.0370055458657631,2.1307835905361867e-07,-0.02265664237272169,0.060393161635066445,0.7075490549379815,40571
0.01,12,-0.2411159786718926,0.04040520580895467,2.4298773915522e-09,0.051993205179037716,0.06627235973578942,0.432728892906438,40570
0.01,13,-0.21472894691685696,0.039327073209204554,4.787078842007056e-08,0.06255903503819837,0.06071747541389534,0.30286127532242496,40569
0.01,14,-0.19745484758165688,0.045519265333332205,1.4424331166517946e-05,0.03304059054594699,0.0704805620719805,0.6392221883579408,40568
0.01,15,-0.19996259644477732,0.03999688155261376,5.773192138812064e-07,0.022354939158148568,0.06185429581424895,0.7177927038931948,40567
0.01,16,-0.2120847365000813,0.04039322292638007,1.5244744168557166e-07,0.07961273476137043,0.06512832479949926,0.22156425431305973,40566
0.01,17,-0.20314687022384703,0.04323030509482613,2.6206774024290892e-06,0.02857152170938093,0.06739463868848673,0.6716092380144931,40565
0.01,18,-0.23191709825935192,0.04950146036539786,2.8079068844447213e-06,0.05206521735363623,0.07937056697778734,0.5118430420314093,40564
