tau,h,q_tau,f_hat,beta_rif,se_beta_rif,g,n_obs,branch
0.01,0,-2.460917754574586,0.012211115262085662,-0.14603086887736988,0.02207969510951129,-0.0017831997716840815,40582.0,
0.01,1,-2.460917754574586,0.012211115262085662,-0.11656935862616787,0.022854929328842973,-0.0014234418742115353,40581.0,
0.01,2,-2.460917754574586,0.012211115262085662,-0.06437988254047078,0.02162834718364178,-0.000786150166261225,40580.0,
0.01,3,-2.460917754574586,0.012211115262085662,-0.07927659922984058,0.02052967012638685,-0.0009680556907817547,40579.0,
0.01,4,-2.460917754574586,0.012211115262085662,-0.07969745725969578,0.021904798748027872,-0.0009731948366932909,40578.0,
0.01,5,-2.460917754574586,0.012211115262085662,-0.09998271485203955,0.022105605936995308,-0.001220900455274499,40577.0,
0.01,6,-2.460917754574586,0.012211115262085662,-0.10866499172492014,0.023129278051533583,-0.0013269207389065845,40576.0,
0.01,7,-2.460917754574586,0.012211115262085662,-0.10234702780723856,0.022261346058936992,-0.0012497713532860764,40575.0,
0.01,8,-2.460917754574586,0.012211115262085662,-0.058272279670630894,0.02131095127372764,-0.000711569523642565,40574.0,
0.01,9,-2.460917754574586,0.012211115262085662,-0.10015624603190347,0.02192701181798502,-0.001223019464513383,40573.0,
0.01,10,-2.460917754574586,0.012211115262085662,-0.09280163333684963,0.021854079719398668,-0.001133211441186082,40572.0,
0.01,11,-2.460917754574586,0.012211115262085662,-0.08118767878564895,0.02200395634979219,-0.0009913921035127461,40571.0,
0.01,12,-2.460917754574586,0.012211115262085662,-0.08129619437290514,0.02203639129601492,-0.0009927171998564644,40570.0,
0.01,13,-2.460917754574586,0.012211115262085662,-0.06399688639076093,0.021834521777261678,-0.000781473356132183,40569.0,
0.01,14,-2.460917754574586,0.012211115262085662,-0.06761257085554948,0.020463445758681947,-0.0008256248958830485,40568.0,
0.01,15,-2.460917754574586,0.012211115262085662,-0.057297282750886254,0.020699079901523695,-0.0006996637238753847,40567.0,
0.01,16,-2.460917754574586,0.012211115262085662,-0.0764278765065915,0.020576230831608637,-0.0009332696092584377,40566.0,
0.01,17,-2.460917754574586,0.012211115262085662,-0.04210914979279394,0.019954476587710303,-0.0005141996817082374,40565.0,
0.01,18,-2.460917754574586,0.012211115262085662,-0.05334761442659185,0.020153210154802446,-0.000651433868720417,40564.0,
0.01,19,-2.460917754574586,0.012211115262085662,-0.08123005111614708,0.021678053457634815,-0.000991909516924382,40563.0,
0.01,20,-2.460917754574586,0.012211115262085662,-0.09511497849178303,0.02074421065263276,-0.0011614599655139612,40562.0,
0.01,21,-2.460917754574586,0.012211115262085662,-0.08481747159438816,0.02061129631659705,-0.0010357159218777503,40561.0,
0.01,22,-2.460917754574586,0.012211115262085662,-0.06237250684487271,0.02013892950294538,-0.0007616378702679675,40560.0,
0.01,23,-2.460917754574586,0.012211115262085662,-0.0625923884347634,0.020125350320592452,-0.0007643228697061335,40559.0,
0.01,24,-2.460917754574586,0.012211115262085662,-0.05328245174348461,0.01997401204226051,-0.0006506381596862077,40558.0,
0.05,0,-1.1701910413445171,0.077464023372963,-0.05074754061093265,0.005678010156272945,-0.003931108672005676,40582.0,
0.05,1,-1.1701910413445171,0.077464023372963,-0.03950912543660928,0.006676996420953831,-0.0030605358162668285,40581.0,
0.05,2,-1.1701910413445171,0.077464023372963,-0.031504721147828124,0.006405604378544289,-0.0024404824553540395,40580.0,
0.05,3,-1.1701910413445171,0.077464023372963,-0.03131086325606062,0.006404840756160451,-0.002425465443095128,40579.0,
0.05,4,-1.1701910413445171,0.077464023372963,-0.03603821019853104,0.006579895854243786,-0.002791664757138762,40578.0,
0.05,5,-1.1701910413445171,0.077464023372963,-0.03237417159351277,0.006398611302906068,-0.0025078335850001877,40577.0,
0.05,6,-1.1701910413445171,0.077464023372963,-0.02365877970827681,0.006354784230343198,-0.0018327042642977377,40576.0,
0.05,7,-1.1701910413445171,0.077464023372963,-0.02105131993970424,0.006236803089816924,-0.0016307199398409714,40575.0,
0.05,8,-1.1701910413445171,0.077464023372963,-0.02149004584723189,0.006242009488375263,-0.0016647054137960177,40574.0,
0.05,9,-1.1701910413445171,0.077464023372963,-0.03375705035584455,0.006331557650057495,-0.0026149569377674313,40573.0,
0.05,10,-1.1701910413445171,0.077464023372963,-0.027693300456825293,0.0062812816910963075,-0.0021452344738620015,40572.0,
0.05,11,-1.1701910413445171,0.077464023372963,-0.027004647246010326,0.006302974921063701,-0.0020918886254435646,40571.0,
