h,g_down,g_up,gap_g,ci_lo,ci_hi,pval,g_down_partner,asym_iso,cond_delta,cond_ci_lo,cond_ci_hi,asym_matches_cond,branch
0,-0.0017831997716840815,0.003590912628576454,-0.005374112400260535,-0.006826181835028359,-0.003949314841115893,0.0,0.0012543171852013766,0.0005288825864827049,0.0005288825864826,-6.355976404845918e-05,0.0012548277617314,True,NON-CONFIRMATORY
1,-0.0014234418742115353,0.003269013703278523,-0.004692455577490058,-0.0059193517209567195,-0.0033809280265938127,0.0,0.001133976178085017,0.0002894656961265182,0.0002894656961264,-0.0004531999723078,0.0009670911964293,True,NON-CONFIRMATORY
2,-0.000786150166261225,0.00350736609083438,-0.004293516257095605,-0.005642073867562642,-0.003057071008478589,0.0,0.0013186143909613287,-0.0005324642247001038,-0.0005324642247001,-0.0012830663601107,0.0001677939051809,True,NON-CONFIRMATORY
3,-0.0009680556907817547,0.0024922774752330393,-0.0034603331660147943,-0.004661379526889873,-0.002171255559656291,0.0,0.001202484549343001,-0.00023442885856124625,-0.0002344288585612,-0.0008809679849675,0.0003339678516156,True,NON-CONFIRMATORY
4,-0.0009731948366932909,0.0022251346424371813,-0.003198329479130472,-0.00441033411597179,-0.001962963230106102,0.0,0.0013851147797322855,-0.0004119199430389946,-0.0004119199430389,-0.0011143869952501,0.0002170716249704,True,NON-CONFIRMATORY
5,-0.001220900455274499,0.0022113116434706193,-0.0034322120987451184,-0.004680443846997617,-0.002039966914549796,0.0,0.0010513606604608313,0.0001695397948136676,0.0001695397948136,-0.0005127975215837,0.0008624781870384,True,NON-CONFIRMATORY
6,-0.0013269207389065845,0.002260187747863288,-0.0035871084867698725,-0.004922485626549744,-0.0021776507997914767,0.0,0.0011770830792197076,0.00014983765968687684,0.0001498376596868,-0.0006194948791747,0.000902952352352,True,NON-CONFIRMATORY
7,-0.0012497713532860764,0.003101845051519854,-0.004351616404805931,-0.0058229606464522896,-0.003029213904756948,0.0,0.0014753843394455545,-0.00022561298615947811,-0.0002256129861594,-0.000893174455224,0.0005010551272692,True,NON-CONFIRMATORY
8,-0.000711569523642565,0.0031792333234943603,-0.0038908028471369253,-0.005145919581593776,-0.002442955008816341,0.0,0.0014225490367957808,-0.0007109795131532158,-0.0007109795131532,-0.0014525629950942,3.1532150738379565e-05,True,NON-CONFIRMATORY
9,-0.001223019464513383,0.0026627941994751283,-0.003885813663988511,-0.005317678733003422,-0.0025398913437658984,0.0,0.0009332250982682723,0.00028979436624511064,0.0002897943662451,-0.0003527804903773,0.000982355541294,True,NON-CONFIRMATORY
