regime,tau,h,beta_shock,se_shock,beta_interact,se_interact,pval_interact
oi_high,0.01,0,-0.03217347612399912,0.0056954062378040335,-0.0221828430203157,0.009637340693634349,0.021353764124580638
oi_high,0.01,1,-0.08682350672926376,0.012840853049574894,-0.0198735182707086,0.023033103173069145,0.3882392445662445
oi_high,0.01,3,-0.10509403258804895,0.02294897173247556,-0.065342672659364,0.03987554446457675,0.10129073010839819
oi_high,0.01,6,-0.15954378718214457,0.03440703174501477,-0.06465666323003916,0.0565803654753307,0.2531531804472254
oi_high,0.01,12,-0.2411159786718926,0.04040520580895467,0.051993205179037716,0.06627235973578942,0.432728892906438
oi_high,0.01,24,-0.21309558149341967,0.046459676925107815,-0.14352700757334347,0.07593823193453332,0.05875848230137438
funding_high,0.01,0,-0.04665745290058432,0.005401126927612862,0.013167466322187238,0.01294519270393708,0.30907845876359763
funding_high,0.01,1,-0.10769508282171092,0.01122485431164867,0.06465426417995346,0.028776410212324303,0.024659441643814988
funding_high,0.01,3,-0.15910459458481063,0.020860072614776983,0.12539116622601476,0.05768858571583501,0.029741920846095123
funding_high,0.01,6,-0.20625371905894951,0.02734596970466678,0.02145626177275517,0.07592519623940702,0.7774869282873279
funding_high,0.01,12,-0.24003707245241657,0.03545919695235853,-0.026463174923435417,0.09484524419499159,0.7802353093979595
funding_high,0.01,24,-0.29250113220256146,0.041930460246162475,0.09349784311442022,0.11810187349349818,0.428557093573565
