tau,h,beta_shock,ratio_vs_median
0.01,0,-0.0321734761239991,18.79191302232379
0.01,1,-0.0868235067292637,15.517829264490265
0.01,3,-0.1050940325880489,10.466022202935587
0.01,6,-0.1595437871821445,11.15887364020468
0.01,12,-0.2411159786718926,7.533148803512459
0.01,24,-0.2130955814934196,5.639568954252729
0.05,0,-0.0194488300621458,11.35969024625156
0.05,1,-0.0454064556743141,8.115424649418866
0.05,3,-0.045845965900213,4.565672143417416
0.05,6,-0.0792301362191594,5.541545015202892
0.05,12,-0.101693890457561,3.1772063114380638
0.05,24,-0.1159361071352709,3.068246023192097
