h,measure,beta,se_hac,ci_lo,ci_hi,pval,n_obs
0,absret,0.021376606638221232,0.0019192659504313203,0.017307990124490302,0.025579406879710314,8.202388624625896e-29,40582
1,absret,0.018417568631842563,0.0018705366885318185,0.014651203426937695,0.022331028657044047,7.12261428959074e-23,40581
2,absret,0.016388271872867177,0.001893006484035534,0.012285619806648114,0.01998405678153599,4.8318909145743075e-18,40580
3,absret,0.01493349034857632,0.0017221478704100015,0.011177477247446454,0.01835692708290928,4.2671465159963e-18,40579
4,absret,0.014742216210816075,0.0019545597992128936,0.010677380835388996,0.018558281887710647,4.6113854198242417e-14,40578
5,absret,0.014268971358479291,0.002004668021349024,0.010087893404438901,0.018412901190112997,1.0960569720312287e-12,40577
6,absret,0.014128803941615623,0.002037723470301838,0.009854768903363252,0.018749882619885732,4.102003156682932e-12,40576
7,absret,0.014932957495815484,0.00223954323797657,0.01064855032148625,0.019450113352667338,2.595627853265405e-11,40575
8,absret,0.013756971215446131,0.002149427480409471,0.009428184221538159,0.01839442585856184,1.5507643929572683e-10,40574
9,absret,0.014269648045112009,0.0020387968264636474,0.010388566446997798,0.018862810695732216,2.5769746926129612e-12,40573
10,absret,0.014481186684395235,0.0022483476051629752,0.009993868143975078,0.019351382665555306,1.188351447623788e-10,40572
11,absret,0.013665219472387254,0.0020591302107466703,0.009641474115531443,0.018093169334518874,3.214286338164294e-11,40571
12,absret,0.013674954181050398,0.002109103599775121,0.009692164379284069,0.017873710845934816,8.945531978978839e-11,40570
13,absret,0.012359231925639584,0.0021227183328070467,0.007894070402727962,0.01688847893300836,5.80221347864665e-09,40569
14,absret,0.011714844051096393,0.0016977156747564294,0.008157833978748396,0.015144844650736048,5.1872055121785005e-12,40568
15,absret,0.012641022069156438,0.0018680753209708951,0.00896463937459443,0.01647757083267853,1.3159859774175749e-11,40567
16,absret,0.01380036663124398,0.0019443100609038975,0.010093254015184929,0.01778957922290301,1.2673831192507512e-12,40566
17,absret,0.014020460418559224,0.0018976325816164128,0.010193760525768656,0.017677662248171258,1.4861092102952613e-13,40565
18,absret,0.012472516860928692,0.0020274665003300755,0.008252274666628317,0.016631928669444414,7.662073492897897e-10,40564
19,absret,0.013991904763861421,0.0021555197800821454,0.009817058347427814,0.018405130979845544,8.515671430499453e-11,40563
20,absret,0.014149094876806129,0.0021200371866034445,0.010031160489724765,0.01872353376411226,2.489502789436834e-11,40562
